location,datetime,count
kum,2022-06-20,3
kum,2022-06-21,4
kum,2022-06-22,0
kum,2022-06-23,0
kum,2022-06-24,1
kum,2022-06-25,1
kum,2022-06-26,4
kum,2022-06-27,6
kum,2022-06-28,4
kum,2022-06-29,8
kum,2022-06-30,3
kum,2022-07-01,3
kum,2022-07-02,2
kum,2022-07-03,23
kum,2022-07-04,0
kum,2022-07-05,0
kum,2022-07-06,12
kum,2022-07-07,0
kum,2022-07-08,0
kum,2022-07-09,10
kum,2022-07-10,12
kum,2022-07-11,0
kum,2022-07-12,0
kum,2022-07-13,0
kum,2022-07-14,0
kum,2022-07-15,0
kum,2022-07-16,0
kum,2022-07-17,0
kum,2022-07-18,0
kum,2022-07-19,0
kum,2022-07-20,0
kum,2022-07-21,0
kum,2022-07-22,0
kum,2022-07-23,0
kum,2022-07-24,0
kum,2022-07-25,0
kum,2022-07-26,0
kum,2022-07-27,0
kum,2022-07-28,0
kum,2022-07-29,0
kum,2022-07-30,0
kum,2022-07-31,0
kum,2022-08-01,0
kum,2022-08-02,0
kum,2022-08-03,0
kum,2022-08-04,0
kum,2022-08-05,0
kum,2022-08-06,0
kum,2022-08-07,0
kum,2022-08-08,0
kum,2022-08-09,0
kum,2022-08-10,31
kum,2022-08-11,9
kum,2022-08-12,2
kum,2022-08-13,0
kum,2022-08-14,0
kum,2022-08-15,0
kum,2022-08-16,0
kum,2022-08-17,0
kum,2022-08-18,0
kum,2022-08-19,0
kum,2022-08-20,0
kum,2022-08-21,11
kum,2022-08-22,0
kum,2022-08-23,0
kum,2022-08-24,1
kum,2022-08-25,0
kum,2022-08-26,0
kum,2022-08-27,0
kum,2022-08-28,14
kum,2022-08-29,0
kum,2022-08-30,3
kum,2022-08-31,0
kum,2022-09-01,12
kum,2022-09-02,1
kum,2022-09-03,8
kum,2022-09-04,2
kum,2022-09-05,1
kum,2022-09-06,5
kum,2022-09-07,0
kum,2022-09-08,0
kum,2022-09-09,0
kum,2022-09-10,12
kum,2022-09-11,8
kum,2022-09-12,0
kum,2022-09-13,2
kum,2022-09-14,3
kum,2022-09-15,0
kum,2022-09-16,0
kum,2022-09-17,1
kum,2022-09-18,22
kum,2022-09-19,0
kum,2022-09-20,0
kum,2022-09-21,4
kum,2022-09-22,0
kum,2022-06-20,0
kum,2022-06-21,4
kum,2022-06-22,0
kum,2022-06-23,0
kum,2022-06-24,0
kum,2022-06-25,0
kum,2022-06-26,2
kum,2022-06-27,3
kum,2022-06-28,0
kum,2022-06-29,0
kum,2022-06-30,2
kum,2022-07-01,1
kum,2022-07-02,2
kum,2022-07-03,2
kum,2022-07-04,1
kum,2022-07-05,0
kum,2022-07-06,3
kum,2022-07-07,0
kum,2022-07-08,0
kum,2022-07-09,0
kum,2022-07-10,3
kum,2022-07-11,0
kum,2022-07-12,2
kum,2022-07-13,0
kum,2022-07-14,1
kum,2022-07-15,6
kum,2022-07-16,0
kum,2022-07-17,2
kum,2022-07-18,0
kum,2022-07-19,2
kum,2022-07-20,0
kum,2022-07-21,0
kum,2022-07-22,3
kum,2022-07-23,4
kum,2022-07-24,2
kum,2022-07-25,0
kum,2022-07-26,0
kum,2022-07-27,13
kum,2022-07-28,6
kum,2022-07-29,2
kum,2022-07-30,0
kum,2022-07-31,9
kum,2022-08-01,0
kum,2022-08-02,2
kum,2022-08-03,2
kum,2022-08-04,0
kum,2022-08-05,0
kum,2022-08-06,2
kum,2022-08-07,4
kum,2022-08-08,1
kum,2022-08-09,8
kum,2022-08-10,4
kum,2022-08-11,0
kum,2022-08-12,4
kum,2022-08-13,0
kum,2022-08-14,0
kum,2022-08-15,0
kum,2022-08-16,0
kum,2022-08-17,0
kum,2022-08-18,0
kum,2022-08-19,0
kum,2022-08-20,0
kum,2022-08-21,0
kum,2022-08-22,0
kum,2022-08-23,0
kum,2022-08-24,0
kum,2022-08-25,0
kum,2022-08-26,0
kum,2022-08-27,0
kum,2022-08-28,0
kum,2022-08-29,0
kum,2022-08-30,0
kum,2022-08-31,0
kum,2022-09-01,10
kum,2022-09-02,0
kum,2022-09-03,21
kum,2022-09-04,2
kum,2022-09-05,0
kum,2022-09-06,5
kum,2022-09-07,3
kum,2022-09-08,0
kum,2022-09-09,0
kum,2022-09-10,3
kum,2022-09-11,0
kum,2022-09-12,2
kum,2022-09-13,0
kum,2022-09-14,5
kum,2022-09-15,0
kum,2022-09-16,0
kum,2022-09-17,0
kum,2022-09-18,0
kum,2022-09-19,0
kum,2022-09-20,0
kum,2022-09-21,0
kum,2022-09-22,0
kum,2022-09-23,0
kum,2022-09-24,0
kum,2022-09-25,0
kum,2022-09-26,0
kum,2022-09-27,0
kum,2022-09-28,29
kum,2022-09-29,0
kum,2022-09-30,0
kum,2022-10-01,4
kum,2022-10-02,17
kum,2022-10-03,2
kum,2022-10-04,0
kum,2022-10-05,6
kum,2022-10-06,20
kum,2022-10-07,2
kum,2022-10-08,17
kum,2022-10-09,6
kum,2022-10-10,3
kum,2022-10-11,0
kum,2022-10-12,0
kum,2022-10-13,1
kum,2022-10-14,0
kum,2022-10-15,20
kum,2022-10-16,3
kum,2022-10-17,0
kum,2022-10-18,10
kum,2022-10-19,2
kum,2022-10-20,0
kum,2022-10-21,19
kum,2022-10-22,5
kum,2022-10-23,16
kum,2022-10-24,10
kum,2022-10-25,0
kum,2022-10-26,0
kum,2022-10-27,0
kum,2022-10-28,1
kum,2022-10-29,16
kum,2022-10-30,29
kum,2022-10-31,40
kum,2022-11-01,10
kum,2022-11-02,3
kum,2022-11-03,2
kum,2022-11-04,0
kum,2022-11-05,3
kum,2022-11-06,12
kum,2022-11-07,0
kum,2022-11-08,0
kum,2022-11-09,0
kum,2022-11-10,0
kum,2022-11-11,2
kum,2022-11-12,4
kum,2022-11-13,16
kum,2022-11-14,0
kum,2022-11-15,0
kum,2022-11-16,0
kum,2022-11-17,0
kum,2022-11-18,0
kum,2022-11-19,2
kum,2022-11-20,2
kum,2022-11-21,0
kum,2022-11-22,0
kum,2022-11-23,0
kum,2022-11-24,2
kum,2022-11-25,0
kum,2022-11-26,4
kum,2022-11-27,11
kum,2022-11-28,2
kum,2022-11-29,0
kum,2022-11-30,0
kum,2022-12-01,0
kum,2022-12-02,0
kum,2022-12-03,0
kum,2022-12-04,3
kum,2022-12-05,0
kum,2022-12-06,0
kum,2022-12-07,2
kum,2022-12-08,0
kum,2022-12-09,0
kum,2022-12-10,2
kum,2022-12-11,2
kum,2022-12-12,4
kum,2022-12-13,3
kum,2022-12-14,0
kum,2022-12-15,0
kum,2022-12-16,0
kum,2022-12-17,9
kum,2022-12-18,18
kum,2022-12-19,3
kum,2022-12-20,6
kum,2022-12-21,0
kum,2022-12-22,2
kum,2022-12-23,1
kum,2022-12-24,2
kum,2022-12-25,9
kum,2022-12-26,10
kum,2022-12-27,10
kum,2022-12-28,17
kum,2022-12-29,10
kum,2022-12-30,2
kum,2022-12-31,0
kum,2022-06-20,0
kum,2022-06-21,2
kum,2022-06-22,0
kum,2022-06-23,2
kum,2022-06-24,0
kum,2022-06-25,33
kum,2022-06-26,8
kum,2022-06-27,2
kum,2022-06-28,3
kum,2022-06-29,4
kum,2022-06-30,0
kum,2022-07-01,0
kum,2022-07-02,21
kum,2022-07-03,13
kum,2022-07-04,2
kum,2022-07-05,0
kum,2022-07-06,5
kum,2022-07-07,0
kum,2022-07-08,0
kum,2022-07-09,32
kum,2022-07-10,20
kum,2022-07-11,7
kum,2022-07-12,4
kum,2022-07-13,0
kum,2022-07-14,0
kum,2022-07-15,2
kum,2022-07-16,11
kum,2022-07-17,26
kum,2022-07-18,0
kum,2022-07-19,8
kum,2022-07-20,12
kum,2022-07-21,0
kum,2022-07-22,0
kum,2022-07-23,13
kum,2022-07-24,41
kum,2022-07-25,6
kum,2022-07-26,1
kum,2022-07-27,6
kum,2022-07-28,35
kum,2022-07-29,8
kum,2022-07-30,0
kum,2022-07-31,34
kum,2022-08-01,0
kum,2022-08-02,4
kum,2022-08-03,12
kum,2022-08-04,7
kum,2022-08-05,1
kum,2022-08-06,18
kum,2022-08-07,24
kum,2022-08-08,3
kum,2022-08-09,2
kum,2022-08-10,14
kum,2022-08-11,7
kum,2022-08-12,0
kum,2022-08-13,0
kum,2022-08-14,24
kum,2022-08-15,60
kum,2022-08-16,2
kum,2022-08-17,42
kum,2022-08-18,8
kum,2022-08-19,5
kum,2022-08-20,15
kum,2022-08-21,21
kum,2022-08-22,0
kum,2022-08-23,0
kum,2022-08-24,2
kum,2022-08-25,0
kum,2022-08-26,1
kum,2022-08-27,36
kum,2022-08-28,38
kum,2022-08-29,0
kum,2022-08-30,14
kum,2022-08-31,2
kum,2022-09-01,0
kum,2022-09-02,5
kum,2022-09-03,18
kum,2022-09-04,25
kum,2022-09-05,2
kum,2022-09-06,2
kum,2022-09-07,4
kum,2022-09-08,1
kum,2022-09-09,1
kum,2022-09-10,2
kum,2022-09-11,44
kum,2022-09-12,0
kum,2022-09-13,0
kum,2022-09-14,9
kum,2022-09-15,2
kum,2022-09-16,0
kum,2022-09-17,0
kum,2022-09-18,19
kum,2022-09-19,0
kum,2022-09-20,2
kum,2022-09-21,12
kum,2022-09-22,2
kum,2022-09-23,10
kum,2022-09-24,0
kum,2022-09-25,0
kum,2022-09-26,0
kum,2022-09-27,0
kum,2022-09-28,3
kum,2022-09-29,0
kum,2022-09-30,0
kum,2022-10-01,14
kum,2022-10-02,9
kum,2022-10-03,1
kum,2022-10-04,3
kum,2022-10-05,3
kum,2022-10-06,0
kum,2022-10-07,11
kum,2022-10-08,35
kum,2022-10-09,39
kum,2022-10-10,1
kum,2022-10-11,2
kum,2022-10-12,3
kum,2022-10-13,8
kum,2022-10-14,2
kum,2022-10-15,17
kum,2022-10-16,23
kum,2022-10-17,0
kum,2022-10-18,5
kum,2022-10-19,134
kum,2022-10-20,5
kum,2022-10-21,0
kum,2022-10-22,6
kum,2022-10-23,13
kum,2022-10-24,0
kum,2022-10-25,0
kum,2022-10-26,1
kum,2022-10-27,10
kum,2022-10-28,1
kum,2022-10-29,18
kum,2022-10-30,53
kum,2022-10-31,27
kum,2022-11-01,26
kum,2022-11-02,1
kum,2022-11-03,0
kum,2022-11-04,0
kum,2022-11-05,9
kum,2022-11-06,58
kum,2022-11-07,0
kum,2022-11-08,4
kum,2022-11-09,0
kum,2022-11-10,0
kum,2022-11-11,1
kum,2022-11-12,8
kum,2022-11-13,13
kum,2022-11-14,1
kum,2022-11-15,0
kum,2022-11-16,0
kum,2022-11-17,6
kum,2022-11-18,0
kum,2022-11-19,7
