datetime,location,count
2022-06-27,lovrenska-jezera,318
2022-06-28,lovrenska-jezera,66
2022-06-29,lovrenska-jezera,214
2022-06-30,lovrenska-jezera,288
2022-07-01,lovrenska-jezera,379
2022-07-02,lovrenska-jezera,1147
2022-07-03,lovrenska-jezera,1380
2022-07-04,lovrenska-jezera,253
2022-07-05,lovrenska-jezera,95
2022-07-06,lovrenska-jezera,242
2022-07-07,lovrenska-jezera,25
2022-07-08,lovrenska-jezera,107
2022-07-09,lovrenska-jezera,1053
2022-07-10,lovrenska-jezera,381
2022-07-11,lovrenska-jezera,172
2022-07-12,lovrenska-jezera,170
2022-07-13,lovrenska-jezera,360
2022-07-14,lovrenska-jezera,282
2022-07-15,lovrenska-jezera,197
2022-07-16,lovrenska-jezera,730
2022-07-17,lovrenska-jezera,1583
2022-07-18,lovrenska-jezera,339
2022-07-19,lovrenska-jezera,466
2022-07-20,lovrenska-jezera,602
2022-07-21,lovrenska-jezera,505
2022-07-22,lovrenska-jezera,477
2022-07-23,lovrenska-jezera,1748
2022-07-24,lovrenska-jezera,1096
2022-07-25,lovrenska-jezera,590
2022-07-26,lovrenska-jezera,71
2022-07-27,lovrenska-jezera,628
2022-07-28,lovrenska-jezera,709
2022-07-29,lovrenska-jezera,574
2022-07-30,lovrenska-jezera,153
2022-07-31,lovrenska-jezera,1943
2022-08-01,lovrenska-jezera,404
2022-08-02,lovrenska-jezera,232
2022-08-03,lovrenska-jezera,973
2022-08-04,lovrenska-jezera,837
2022-08-05,lovrenska-jezera,913
2022-08-06,lovrenska-jezera,1160
2022-08-07,lovrenska-jezera,2239
2022-08-08,lovrenska-jezera,250
2022-08-09,lovrenska-jezera,944
2022-08-10,lovrenska-jezera,1092
2022-08-11,lovrenska-jezera,899
2022-08-12,lovrenska-jezera,258
2022-08-13,lovrenska-jezera,135
2022-08-14,lovrenska-jezera,3135
2022-08-15,lovrenska-jezera,3231
2022-08-16,lovrenska-jezera,441
2022-08-17,lovrenska-jezera,863
2022-08-18,lovrenska-jezera,754
2022-08-19,lovrenska-jezera,420
2022-08-20,lovrenska-jezera,390
2022-08-21,lovrenska-jezera,796
2022-08-22,lovrenska-jezera,81
2022-08-23,lovrenska-jezera,82
2022-08-24,lovrenska-jezera,588
2022-08-25,lovrenska-jezera,258
2022-08-26,lovrenska-jezera,466
2022-08-27,lovrenska-jezera,789
2022-08-28,lovrenska-jezera,350
2022-08-29,lovrenska-jezera,85
2022-08-30,lovrenska-jezera,374
2022-08-31,lovrenska-jezera,159
