datetime,location,count
2022-06-15,osp,46
2022-06-16,osp,60
2022-06-17,osp,79
2022-06-18,osp,58
2022-06-19,osp,44
2022-06-20,osp,106
2022-06-21,osp,31
2022-06-22,osp,35
2022-06-23,osp,19
2022-06-24,osp,57
2022-06-25,osp,76
2022-06-26,osp,26
2022-06-27,osp,67
2022-06-28,osp,81
2022-06-29,osp,42
2022-06-30,osp,31
2022-07-01,osp,29
2022-07-02,osp,47
2022-07-03,osp,40
2022-07-04,osp,9
2022-07-05,osp,34
2022-07-06,osp,30
2022-07-07,osp,14
2022-07-08,osp,32
2022-07-09,osp,17
2022-07-10,osp,26
2022-07-11,osp,0
2022-07-12,osp,0
2022-07-13,osp,0
2022-07-14,osp,15
2022-07-15,osp,48
2022-07-16,osp,36
2022-07-17,osp,39
2022-07-18,osp,30
2022-07-19,osp,12
2022-07-20,osp,49
2022-07-21,osp,20
2022-07-22,osp,16
2022-07-23,osp,27
2022-07-24,osp,17
2022-07-25,osp,11
2022-07-26,osp,7
2022-07-27,osp,0
2022-07-28,osp,0
2022-07-29,osp,1
2022-07-30,osp,31
2022-07-31,osp,27
2022-08-01,osp,4
2022-08-02,osp,17
2022-08-03,osp,20
2022-08-04,osp,18
2022-08-05,osp,11
2022-08-06,osp,44
2022-08-07,osp,78
2022-08-08,osp,26
2022-08-09,osp,17
2022-08-10,osp,47
2022-08-11,osp,22
2022-08-12,osp,8
2022-08-13,osp,26
2022-08-14,osp,68
2022-08-15,osp,64
2022-08-16,osp,7
2022-08-17,osp,33
2022-08-18,osp,19
2022-08-19,osp,16
2022-08-20,osp,32
2022-08-21,osp,22
2022-08-22,osp,7
2022-08-23,osp,59
2022-08-24,osp,67
2022-08-25,osp,50
2022-08-26,osp,23
2022-08-27,osp,37
2022-08-28,osp,32
2022-08-29,osp,30
2022-08-30,osp,22
2022-08-31,osp,7
2022-09-01,osp,28
2022-09-02,osp,15
2022-09-03,osp,81
2022-09-04,osp,93
2022-09-05,osp,59
2022-09-06,osp,30
2022-09-07,osp,92
2022-09-08,osp,21
2022-09-09,osp,58
2022-09-10,osp,91
2022-09-11,osp,111
2022-09-12,osp,42
2022-09-13,osp,70
2022-09-14,osp,57
2022-09-15,osp,40
2022-09-16,osp,38
2022-09-17,osp,43
2022-09-18,osp,145
2022-09-19,osp,105
2022-09-20,osp,77
2022-09-21,osp,144
2022-09-22,osp,84
2022-09-23,osp,148
2022-09-24,osp,93
2022-09-25,osp,0
2022-09-26,osp,0
2022-09-27,osp,0
2022-09-28,osp,2
2022-09-29,osp,0
2022-09-30,osp,4
2022-10-01,osp,0
2022-10-02,osp,10
2022-10-03,osp,0
2022-10-04,osp,1
2022-10-05,osp,0
2022-10-06,osp,12
2022-10-07,osp,7
2022-10-08,osp,0
2022-10-09,osp,7
2022-10-10,osp,11
2022-10-11,osp,0
2022-10-12,osp,2
2022-10-13,osp,0
2022-10-14,osp,1
2022-10-15,osp,35
2022-10-16,osp,4
2022-10-17,osp,0
2022-10-18,osp,5
2022-10-19,osp,0
2022-10-20,osp,0
2022-10-21,osp,0
2022-10-22,osp,0
2022-10-23,osp,0
2022-10-24,osp,0
2022-10-25,osp,0
2022-10-26,osp,0
2022-10-27,osp,0
2022-10-28,osp,0
2022-10-29,osp,0
2022-10-30,osp,113
2022-10-31,osp,163
2022-11-01,osp,141
2022-11-02,osp,73
2022-11-03,osp,41
2022-11-04,osp,8
2022-11-05,osp,297
2022-11-06,osp,180
2022-11-07,osp,13
2022-11-08,osp,22
2022-11-09,osp,19
2022-11-10,osp,3
2022-11-11,osp,57
2022-11-12,osp,173
2022-11-13,osp,196
2022-11-14,osp,26
2022-11-15,osp,1
2022-11-16,osp,2
2022-11-17,osp,8
2022-11-18,osp,47
2022-11-19,osp,277
2022-11-20,osp,357
2022-11-21,osp,44
2022-11-22,osp,7
2022-11-23,osp,37
2022-11-24,osp,131
2022-11-25,osp,85
2022-11-26,osp,290
2022-11-27,osp,583
2022-11-28,osp,49
2022-11-29,osp,56
2022-11-30,osp,41
2022-12-01,osp,65
2022-12-02,osp,70
2022-12-03,osp,135
2022-12-04,osp,161
2022-12-05,osp,9
2022-12-06,osp,70
2022-12-07,osp,26
2022-12-08,osp,174
2022-12-09,osp,16
2022-12-10,osp,125
2022-12-11,osp,77
2022-12-12,osp,40
2022-12-13,osp,50
2022-12-14,osp,21
2022-12-15,osp,42
2022-12-16,osp,2
2022-12-17,osp,87
2022-12-18,osp,353
2022-12-19,osp,63
2022-12-20,osp,35
2022-12-21,osp,23
2022-12-22,osp,45
2022-12-23,osp,20
2022-12-24,osp,57
2022-12-25,osp,43
2022-12-26,osp,96
2022-12-27,osp,93
2022-12-28,osp,229
2022-12-29,osp,100
2022-12-30,osp,69
2022-12-31,osp,0
2023-01-01,osp,134
2023-01-02,osp,65
2023-01-03,osp,48
2023-01-04,osp,64
2023-01-05,osp,73
2023-01-06,osp,116
2023-01-07,osp,116
2023-01-08,osp,81
2023-01-09,osp,5
2023-01-10,osp,74
2023-01-11,osp,47
2023-01-12,osp,34
2023-01-13,osp,28
2023-01-14,osp,258
2023-01-15,osp,65
2023-01-16,osp,1
2023-01-17,osp,6
2023-01-18,osp,6
2023-01-19,osp,14
2023-01-20,osp,11
2023-01-21,osp,337
2023-01-22,osp,64
2023-01-23,osp,4
2023-01-24,osp,42
2023-01-25,osp,33
2023-01-26,osp,34
2023-01-27,osp,41
2023-01-28,osp,114
2023-01-29,osp,101
2023-01-30,osp,29
2023-01-31,osp,50
2023-02-01,osp,51
2023-02-02,osp,44
2023-02-03,osp,80
2023-02-04,osp,352
2023-02-05,osp,138
2023-02-06,osp,57
2023-02-07,osp,39
2023-02-08,osp,212
2023-02-09,osp,79
2023-02-10,osp,107
2023-02-11,osp,171
2023-02-12,osp,244
2023-02-13,osp,39
2023-02-14,osp,50
2023-02-15,osp,73
2023-02-16,osp,58
2023-02-17,osp,58
2023-02-18,osp,304
2023-02-19,osp,212
2023-02-20,osp,99
2023-02-21,osp,67
2023-02-22,osp,65
2023-02-23,osp,26
2023-02-24,osp,50
2023-02-25,osp,83
2023-02-26,osp,2
2023-02-27,osp,3
2023-02-28,osp,2
2023-03-01,osp,0
