datetime,location,count
2022-07-19,storzic,72
2022-07-20,storzic,144
2022-07-21,storzic,252
2022-07-22,storzic,369
2022-07-23,storzic,449
2022-07-24,storzic,125
2022-07-25,storzic,125
2022-07-26,storzic,137
2022-07-27,storzic,25
2022-07-28,storzic,212
2022-07-29,storzic,139
2022-07-30,storzic,13
2022-07-31,storzic,476
2022-08-01,storzic,113
2022-08-02,storzic,23
2022-08-03,storzic,124
2022-08-04,storzic,103
2022-08-05,storzic,79
2022-08-06,storzic,33
2022-08-07,storzic,197
2022-08-08,storzic,53
2022-08-09,storzic,126
2022-08-10,storzic,164
2022-08-11,storzic,145
2022-08-12,storzic,31
2022-08-13,storzic,34
2022-08-14,storzic,486
2022-08-15,storzic,322
2022-08-16,storzic,59
2022-08-17,storzic,153
2022-08-18,storzic,119
2022-08-19,storzic,6
2022-08-20,storzic,280
2022-08-21,storzic,101
2022-08-22,storzic,6
2022-08-23,storzic,26
2022-08-24,storzic,114
2022-08-25,storzic,59
2022-08-26,storzic,41
2022-08-27,storzic,30
2022-08-28,storzic,8
2022-08-29,storzic,15
2022-08-30,storzic,96
2022-08-31,storzic,7
2022-09-01,storzic,0
2022-09-02,storzic,14
2022-09-03,storzic,114
2022-09-04,storzic,52
2022-09-05,storzic,39
2022-09-06,storzic,100
2022-09-07,storzic,14
2022-09-08,storzic,0
2022-09-09,storzic,5
2022-09-10,storzic,30
2022-09-11,storzic,53
2022-09-12,storzic,39
2022-09-13,storzic,39
2022-09-14,storzic,14
2022-09-15,storzic,2
2022-09-16,storzic,0
2022-09-17,storzic,21
2022-09-18,storzic,70
2022-09-19,storzic,24
2022-09-20,storzic,26
2022-09-21,storzic,37
2022-09-22,storzic,20
2022-09-23,storzic,99
2022-09-24,storzic,130
2022-09-25,storzic,0
2022-09-26,storzic,9
2022-09-27,storzic,0
2022-09-28,storzic,46
2022-09-29,storzic,3
2022-09-30,storzic,0
2022-10-01,storzic,4
2022-10-02,storzic,80
2022-10-03,storzic,3
2022-10-04,storzic,13
2022-10-05,storzic,26
2022-10-06,storzic,20
2022-10-07,storzic,37
2022-10-08,storzic,165
2022-10-09,storzic,12
2022-10-10,storzic,12
2022-10-11,storzic,11
2022-10-12,storzic,11
2022-10-13,storzic,70
2022-10-14,storzic,28
2022-10-15,storzic,137
2022-10-16,storzic,371
2022-10-17,storzic,23
2022-10-18,storzic,61
2022-10-19,storzic,75
2022-10-20,storzic,0
2022-10-21,storzic,40
2022-10-22,storzic,16
2022-10-23,storzic,65
2022-10-24,storzic,1
2022-10-25,storzic,3
2022-10-26,storzic,33
2022-10-27,storzic,72
2022-10-28,storzic,45
2022-10-29,storzic,359
2022-10-30,storzic,384
2022-10-31,storzic,390
2022-11-01,storzic,112
2022-11-02,storzic,11
2022-11-03,storzic,1
2022-11-04,storzic,0
2022-11-05,storzic,51
2022-11-06,storzic,332
2022-11-07,storzic,29
2022-11-08,storzic,42
2022-11-09,storzic,10
2022-11-10,storzic,0
2022-11-11,storzic,17
2022-11-12,storzic,82
2022-11-13,storzic,198
2022-11-14,storzic,2
2022-11-15,storzic,9
2022-11-16,storzic,0
2022-11-17,storzic,9
2022-11-18,storzic,0
2022-11-19,storzic,15
2022-11-20,storzic,11
2022-11-21,storzic,3
2022-11-22,storzic,1
2022-11-23,storzic,2
2022-11-24,storzic,1
2022-11-25,storzic,0
2022-11-26,storzic,24
2022-11-27,storzic,4
2022-11-28,storzic,0
2022-11-29,storzic,0
2022-11-30,storzic,2
2022-12-01,storzic,0
2022-12-02,storzic,0
2022-12-03,storzic,0
2022-12-04,storzic,0
2022-12-05,storzic,0
2022-12-06,storzic,0
2022-12-07,storzic,5
2022-12-08,storzic,0
2022-12-09,storzic,0
2022-12-10,storzic,0
2022-12-11,storzic,0
2022-12-12,storzic,0
2022-12-13,storzic,0
2022-12-14,storzic,0
2022-12-15,storzic,0
2022-12-16,storzic,0
2022-12-17,storzic,0
2022-12-18,storzic,0
2022-12-19,storzic,0
2022-12-20,storzic,0
2022-12-21,storzic,0
2022-12-22,storzic,0
2022-12-23,storzic,0
2022-12-24,storzic,0
2022-12-25,storzic,0
2022-12-26,storzic,0
2022-12-27,storzic,0
2022-12-28,storzic,0
2022-12-29,storzic,0
2022-12-30,storzic,0
2022-12-31,storzic,0
2023-01-01,storzic,0
2023-01-02,storzic,0
2023-01-03,storzic,0
2023-01-04,storzic,0
2023-01-05,storzic,0
2023-01-06,storzic,0
2023-01-07,storzic,0
2023-01-08,storzic,0
2023-01-09,storzic,0
2023-01-10,storzic,0
2023-01-11,storzic,0
2023-01-12,storzic,0
2023-01-13,storzic,0
2023-01-14,storzic,0
2023-01-15,storzic,0
2023-01-16,storzic,0
2023-01-17,storzic,0
2023-01-18,storzic,0
2023-01-19,storzic,0
2023-01-20,storzic,0
2023-01-21,storzic,0
2023-01-22,storzic,0
2023-01-23,storzic,0
2023-01-24,storzic,0
2023-01-25,storzic,0
2023-01-26,storzic,0
2023-01-27,storzic,0
2023-01-28,storzic,0
2023-01-29,storzic,0
2023-01-30,storzic,0
2023-01-31,storzic,0
2023-02-01,storzic,0
2023-02-02,storzic,0
2023-02-03,storzic,0
2023-02-04,storzic,0
2023-02-05,storzic,0
2023-02-06,storzic,0
2023-02-07,storzic,0
2023-02-08,storzic,0
2023-02-09,storzic,0
2023-02-10,storzic,0
2023-02-11,storzic,0
2023-02-12,storzic,0
2023-02-13,storzic,0
2023-02-14,storzic,0
2023-02-15,storzic,0
2023-02-16,storzic,0
2023-02-17,storzic,0
2023-02-18,storzic,0
2023-02-19,storzic,0
2023-02-20,storzic,0
2023-02-21,storzic,0
2023-02-22,storzic,0
2023-02-23,storzic,0
2023-02-24,storzic,0
2023-02-25,storzic,0
2023-02-26,storzic,0
2023-02-27,storzic,0
2023-02-28,storzic,0
2023-03-01,storzic,0
2023-03-02,storzic,0
2023-03-03,storzic,0
2023-03-04,storzic,0
2023-03-05,storzic,0
2023-03-06,storzic,0
2023-03-07,storzic,0
2023-03-08,storzic,0
2023-03-09,storzic,0
2023-03-10,storzic,0
2023-03-11,storzic,0
2023-03-12,storzic,0
2023-03-13,storzic,0
2023-03-14,storzic,0
2023-03-15,storzic,0
2023-03-16,storzic,0
2023-03-17,storzic,0
2023-03-18,storzic,0
2023-03-19,storzic,0
2023-03-20,storzic,0
2023-03-21,storzic,0
2023-03-22,storzic,0
2023-03-23,storzic,0
2023-03-24,storzic,0
2023-03-25,storzic,0
2023-03-26,storzic,0
2023-03-27,storzic,0
2023-03-28,storzic,0
2023-03-29,storzic,0
2023-03-30,storzic,0
2023-03-31,storzic,0
2023-04-01,storzic,0
2023-04-02,storzic,0
2023-04-03,storzic,0
2023-04-04,storzic,0
2023-04-05,storzic,0
2023-04-06,storzic,0
2023-04-07,storzic,0
2023-04-08,storzic,0
2023-04-09,storzic,0
2023-04-10,storzic,0
2023-04-11,storzic,0
2023-04-12,storzic,0
2023-04-13,storzic,0
2023-04-14,storzic,0
2023-04-15,storzic,0
2023-04-16,storzic,0
2023-04-17,storzic,0
2023-04-18,storzic,0
2023-04-19,storzic,0
2023-04-20,storzic,0
2023-04-21,storzic,0
2023-04-22,storzic,0
2023-04-23,storzic,0
2023-04-24,storzic,0
2023-04-25,storzic,0
2023-04-26,storzic,0
2023-04-27,storzic,0
2023-04-28,storzic,0
2023-04-29,storzic,0
2023-04-30,storzic,0
2023-05-01,storzic,0
2023-05-02,storzic,0
2023-05-03,storzic,0
2023-05-04,storzic,0
2023-05-05,storzic,0
2023-05-06,storzic,0
2023-05-07,storzic,0
2023-05-08,storzic,0
2023-05-09,storzic,0
2023-05-10,storzic,0
2023-05-11,storzic,0
2023-05-12,storzic,0
2023-05-13,storzic,0
2023-05-14,storzic,0
2023-05-15,storzic,0
2023-05-16,storzic,0
2023-05-17,storzic,0
2023-05-18,storzic,0
2023-05-19,storzic,0
2023-05-20,storzic,0
2023-05-21,storzic,0
2023-05-22,storzic,0
2023-05-23,storzic,0
2023-05-24,storzic,0
2023-05-25,storzic,0
2023-05-26,storzic,0
2023-05-27,storzic,0
2023-05-28,storzic,0
2023-05-29,storzic,0
2023-05-30,storzic,0
2023-05-31,storzic,0
2023-06-01,storzic,0
2023-06-02,storzic,0
2023-06-03,storzic,0
2023-06-04,storzic,0
2023-06-05,storzic,0
2023-06-06,storzic,0
2023-06-07,storzic,64
2023-06-08,storzic,2
2023-06-09,storzic,0
2023-06-10,storzic,0
2023-06-11,storzic,0
2023-06-12,storzic,0
2023-06-13,storzic,14
2023-06-14,storzic,11
2023-06-15,storzic,2
2023-06-16,storzic,7
2023-06-17,storzic,81
2023-06-18,storzic,161
2023-06-19,storzic,11
2023-06-20,storzic,37
2023-06-21,storzic,33
2023-06-22,storzic,57
2023-06-23,storzic,9
2023-06-24,storzic,82
2023-06-25,storzic,222
2023-06-26,storzic,36
2023-06-27,storzic,1
2023-06-28,storzic,7
2023-06-29,storzic,52
2023-06-30,storzic,89
2023-07-01,storzic,1
2023-07-02,storzic,110
2023-07-03,storzic,0
2023-07-04,storzic,5
2023-07-05,storzic,26
2023-07-06,storzic,31
2023-07-07,storzic,14
2023-07-08,storzic,142
2023-07-09,storzic,75
2023-07-10,storzic,11
2023-07-11,storzic,21
2023-07-12,storzic,7
2023-07-13,storzic,12
2023-07-14,storzic,21
2023-07-15,storzic,109
