location,datetime,count
vrsic,2022-07-15,30
vrsic,2022-07-16,173
vrsic,2022-07-17,303
vrsic,2022-07-18,165
vrsic,2022-07-19,171
vrsic,2022-07-20,187
vrsic,2022-07-21,177
vrsic,2022-07-22,171
vrsic,2022-07-23,256
vrsic,2022-07-24,222
vrsic,2022-07-25,202
vrsic,2022-07-26,82
vrsic,2022-07-27,160
vrsic,2022-07-28,220
vrsic,2022-07-29,86
vrsic,2022-07-30,98
vrsic,2022-07-31,381
vrsic,2022-08-01,211
vrsic,2022-08-02,193
vrsic,2022-08-03,262
vrsic,2022-08-04,247
vrsic,2022-08-05,209
vrsic,2022-08-06,117
vrsic,2022-08-07,63
vrsic,2022-08-08,87
vrsic,2022-08-09,317
vrsic,2022-08-10,350
vrsic,2022-08-11,242
vrsic,2022-08-12,89
vrsic,2022-08-13,119
vrsic,2022-08-14,324
vrsic,2022-08-15,258
vrsic,2022-08-16,211
vrsic,2022-08-17,276
vrsic,2022-08-18,127
vrsic,2022-08-19,10
vrsic,2022-08-20,204
vrsic,2022-08-21,290
vrsic,2022-08-22,120
vrsic,2022-08-23,142
vrsic,2022-08-24,305
vrsic,2022-08-25,178
vrsic,2022-08-26,192
vrsic,2022-08-27,104
vrsic,2022-08-28,36
vrsic,2022-08-29,114
vrsic,2022-08-30,149
vrsic,2022-08-31,0
vrsic,2022-09-01,80
vrsic,2022-09-02,154
vrsic,2022-09-03,156
vrsic,2022-09-04,147
vrsic,2022-09-05,111
vrsic,2022-09-06,179
vrsic,2022-09-07,94
vrsic,2022-09-08,13
vrsic,2022-09-09,9
vrsic,2022-09-10,164
vrsic,2022-09-11,248
vrsic,2022-09-12,148
vrsic,2022-09-13,126
vrsic,2022-09-14,35
vrsic,2022-09-15,24
vrsic,2022-09-16,8
vrsic,2022-09-17,23
vrsic,2022-09-18,109
vrsic,2022-09-19,65
vrsic,2022-09-20,97
vrsic,2022-09-21,77
vrsic,2022-09-22,67
vrsic,2022-09-23,56
vrsic,2022-09-24,98
vrsic,2022-09-25,0
vrsic,2022-09-26,14
vrsic,2022-09-27,0
vrsic,2022-09-28,17
vrsic,2022-09-29,0
vrsic,2022-09-30,4
vrsic,2022-10-01,23
vrsic,2022-10-02,95
vrsic,2022-10-03,52
vrsic,2022-10-04,33
vrsic,2022-10-05,75
vrsic,2022-10-06,55
vrsic,2022-10-07,56
vrsic,2022-10-08,159
vrsic,2022-10-09,34
vrsic,2022-10-10,30
vrsic,2022-10-11,69
vrsic,2022-10-12,36
vrsic,2022-10-13,53
vrsic,2022-10-14,91
